code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
00-00002239,Screw Set 1,Screw Set 1,,Screw Set 1,Screw Set 1,Հատ,20%,հատ,9021
00-00003095,"Screwdriver Shalf, Ф3.0xФ2.6x52mm, cruciform, Hexagonal Coupling","Screwdriver Shalf, Ф3.0xФ2.6x52mm, cruciform, Hexagonal Coupling",WDTO02103,"Screwdriver Shalf, Ф3.0xФ2.6x52mm, cruciform, Hexagonal Coupling",World Surgery,Հատ,20%,հատ,9021
00-00003257,ViscoPhi 2.2% 2ml/44mg Intraarticular Gel Injection,ViscoPhi 2.2% 2ml/44mg Intraarticular Gel Injection,PHI222DE-VSP,ViscoPhi 2.2% 2ml/44mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003258,ViscoPhi 2.5% 3ml/75mg Intraarticular Gel Injection,ViscoPhi 2.5% 3ml/75mg Intraarticular Gel Injection,PHI253DE-VSP,ViscoPhi 2.5% 3ml/75mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003259,ViscoPhi 2.5% 4ml/100mg Intraarticular Gel Injection,ViscoPhi 2.5% 4ml/100mg Intraarticular Gel Injection,PHI254DE-VSPC,ViscoPhi 2.5% 4ml/100mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003260,ViscoPhi 2.5% 4.8ml/120mg Intraarticular Gel Injection,ViscoPhi 2.5% 4.8ml/120mg Intraarticular Gel Injection,PHI2548DE-VSP,ViscoPhi 2.5% 4.8ml/120mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003262,REV. Screw - 18,REV. Screw - 18,5031-00201,REV. Screw - 18,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003263,REV. Screw - 22,REV. Screw - 22,5031-00202,REV. Screw - 22,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003264,REV. Screw - 30,REV. Screw - 30,5031-00204,REV. Screw - 30,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003265,REV. Screw - 34,REV. Screw - 34,5031-00205,REV. Screw - 34,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003266,REV. Screw - 38,REV. Screw - 38,5031-00206,REV. Screw - 38,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003267,REV. Screw - 42,REV. Screw - 42,5031-00207,REV. Screw - 42,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003268,REV. Screw - 46,REV. Screw - 46,5031-00208,REV. Screw - 46,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003269,REV. Screw - 26,REV. Screw - 26,5031-00203,REV. Screw - 26,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003270,Radius Head 20-9mm,Radius Head 20-9mm,5041-00104,Radius Head 20-9mm,Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003271,"Radius Head 22-9,5mm","Radius Head 22-9,5mm",5041-00107,"Radius Head 22-9,5mm",Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003272,"Radius Head 22-11,5mm","Radius Head 22-11,5mm",5041-00108,"Radius Head 22-11,5mm",Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003273,Radius Stem 6.5-26mm,Radius Stem 6.5-26mm,5041-00202,Radius Stem 6.5-26mm,Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003274,Radius Stem 6.5-28mm,Radius Stem 6.5-28mm,5041-00206,Radius Stem 6.5-28mm,Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003275,Radius Stem 7.5-31mm,Radius Stem 7.5-31mm,5041-00211,Radius Stem 7.5-31mm,Radius Prosthesis,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003276,Humeral Head 36mm,Humeral Head 36mm,5031-00501,Humeral Head 36mm,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003277,Humeral Head 38mm,Humeral Head 38mm,5031-00502,Humeral Head 38mm,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
