sku,retail_price,purchase_price
153210950S,52000.0,
30225.10H.S,170000.0,
30225.12H.S,170000.0,
ACS-015SMS-10,339.0,
ACS-020SMS-10,300000.0,300000.0
ACS-025SMS-10,397.0,300000.0
3312-02090,1000.0,
3312-02100,1000.0,
3312-02110,1000.0,
3312-02120,1000.0,
3312-02130,1000.0,
3312-02140,1000.0,
3312-02150,1000.0,
BOI.237.16,5000.0,
BOI.237.18,5000.0,
030380008,3000.0,
2204.2012,7000.0,
2204.2014,7000.0,
2204.2016,7000.0,
2204.2018,7000.0,
2204.2020,7000.0,
030360008,3000.0,
3246702606,3500.0,
3070080020,3500.0,
3070080035,3500.0,
3070080040,3500.0,
BOI.237.20,5000.0,
BOI.237.22,5000.0,
BOI.237.24,5000.0,
BOI.237.26,5000.0,
4114.3526,1000.0,
4114.3528,1000.0,
4114.3530,1000.0,
4114.3532,1000.0,
4114.3534,1000.0,
4114.3536,1000.0,
4114.3538,1000.0,
4114.3540,1000.0,
4114.3544,7000.0,
4114.3550,7000.0,
3070090010,3500.0,
3070090052,1000.0,
3070090026,1000.0,
3070090028,1000.0,
3070090030,1000.0,
3070090032,1000.0,
3070090034,1000.0,
3070090036,1000.0,
3070090038,1000.0,
3070090040,1000.0,
3070090042,1000.0,
3070090044,1000.0,
3070090046,1000.0,
3070090048,1000.0,
3070090050,1000.0,
3070090054,1000.0,
3070090056,1000.0,
3050540032,1000.0,
3050540036,1000.0,
3050540040,1000.0,
3050540044,1000.0,
3050540048,1000.0,
3050540052,1000.0,
3050540054,1000.0,
3050540058,1000.0,
3050550034,1000.0,
3050550038,1000.0,
3050550042,1000.0,
3050550046,1000.0,
3050550050,1000.0,
3050550054,1000.0,
3050550058,1000.0,
3050550062,1000.0,
3050550068,1000.0,
3050550072,1000.0,
3150-28353.1,1000.0,
3150-28373.1,1000.0,
3150-32393.1,1000.0,
3150-36443.1,1000.0,
3150-36483.1,1000.0,
3150-36523.1,40000.0,
3051050040,1000.0,
3051050045,1000.0,
3051050050,1000.0,
3051050055,1000.0,
3051050060,1000.0,
3051050065,1000.0,
3051050070,1000.0,
3051050075,1000.0,
3051050080,1000.0,
3051050085,1000.0,
3051050090,1000.0,
3051050035,1000.0,
1202.6535,1000.0,
1202.6540,1000.0,
1202.6545,1000.0,
1202.6550,1000.0,
1202.6555,1000.0,
1202.6560,1000.0,
1202.6565,1000.0,
1202.6570,1000.0,
1202.6575,1000.0,
1202.6580,1000.0,
1202.6585,1000.0,
1202.6590,1000.0,
3154-05460,,49000.0
3154-05480,160000.0,49000.0
3154-05500,160000.0,49000.0
3154-05520,160000.0,49000.0
3154-05540,160000.0,49000.0
3154-05560,,49000.0
3154-05580,,49000.0
3154-05600,,49000.0
3154-05620,,49000.0
3154-05640,173000.0,
3154-22461,,40000.0
3154-22481,1000.0,40000.0
3154-22501,1000.0,40000.0
3154-22541,1000.0,40000.0
3154-22581,108000.0,40000.0
3154-22621,1000.0,40000.0
152000100S,23000.0,
3149-01480,1000.0,76000.0
3149-01500,1000.0,76000.0
3149-01520,1000.0,76000.0
3149-01540,135000.0,76000.0
3149-01560,1000.0,76000.0
3149-01580,1000.0,76000.0
3149-01600,1000.0,76000.0
3149-01620,1000.0,76000.0
3149-01640,1000.0,76000.0
3349-02440,1000.0,
3149-02460,1000.0,
3149-02480,105000.0,47000.0
3149-02500,1000.0,47000.0
3149-02520,1000.0,47000.0
3149-02540,1000.0,47000.0
3149-02560,1000.0,47000.0
3149-02580,1000.0,47000.0
3149-02600,1000.0,47000.0
3149-02620,1000.0,
3149-02640,1000.0,
3149-02660,1000.0,
50.45.34.1,430000.0,
03277,40000.0,
00219,60000.0,
00091,90000.0,
04135,150000.0,
03279,170000.0,
2951453,19000.0,
2951453/25,45000.0,
