"name","owner","creation","modified","modified_by","docstatus","idx","item_group_name","parent_item_group","is_group","lft","old_parent","rgt","doctype","item_group_defaults","taxes"
"All Item Groups","Administrator","2026-04-19 23:12:09.575295","2026-04-19 23:12:09.575295","Administrator","0","0","All Item Groups","","1","1","","30","Item Group","",""
"Products","Administrator","2026-04-19 23:12:09.612242","2026-04-19 23:12:09.612242","Administrator","0","0","Products","All Item Groups","0","2","All Item Groups","3","Item Group","",""
"Raw Material","Administrator","2026-04-19 23:12:09.624200","2026-04-19 23:12:09.624200","Administrator","0","0","Raw Material","All Item Groups","0","4","All Item Groups","5","Item Group","",""
"Services","Administrator","2026-04-19 23:12:09.634480","2026-04-19 23:12:09.634480","Administrator","0","0","Services","All Item Groups","0","6","All Item Groups","7","Item Group","",""
"Sub Assemblies","Administrator","2026-04-19 23:12:09.645013","2026-04-19 23:12:09.645013","Administrator","0","0","Sub Assemblies","All Item Groups","0","8","All Item Groups","9","Item Group","",""
"Consumable","Administrator","2026-04-19 23:12:09.654205","2026-04-19 23:12:09.654205","Administrator","0","0","Consumable","All Item Groups","0","10","All Item Groups","11","Item Group","",""
"ZMD","levonaghinyan77@gmail.com","2026-04-27 18:23:10.297627","2026-04-27 18:31:03.566974","levonaghinyan77@gmail.com","0","0","ZMD","All Item Groups","1","12","All Item Groups","25","Item Group","",""
"femoral nails","levonaghinyan77@gmail.com","2026-04-27 18:32:02.152625","2026-04-27 18:32:14.433657","levonaghinyan77@gmail.com","0","3","femoral nails","ZMD","0","13","ZMD","14","Item Group","",""
"zmd plates","levonaghinyan77@gmail.com","2026-04-27 18:32:26.767566","2026-04-27 18:32:26.767566","levonaghinyan77@gmail.com","0","14","zmd plates","ZMD","0","15","ZMD","16","Item Group","",""
"pfna","levonaghinyan77@gmail.com","2026-04-27 18:32:37.340695","2026-04-27 18:32:37.340695","levonaghinyan77@gmail.com","0","11","pfna","ZMD","0","17","ZMD","18","Item Group","",""
"zmd screws","levonaghinyan77@gmail.com","2026-04-27 18:32:54.141771","2026-04-27 18:32:54.141771","levonaghinyan77@gmail.com","0","16","zmd screws","ZMD","0","19","ZMD","20","Item Group","",""
"tibia nails","levonaghinyan77@gmail.com","2026-04-27 18:33:11.463434","2026-04-27 18:33:11.463434","levonaghinyan77@gmail.com","0","3","tibia nails","ZMD","0","21","ZMD","22","Item Group","",""
"zmd wire","levonaghinyan77@gmail.com","2026-04-27 18:33:24.387734","2026-04-27 18:33:24.387734","levonaghinyan77@gmail.com","0","0","zmd wire","ZMD","0","23","ZMD","24","Item Group","",""
"CHUNLI","levonaghinyan77@gmail.com","2026-04-28 14:57:48.556722","2026-04-28 14:57:48.556722","levonaghinyan77@gmail.com","0","0","CHUNLI","All Item Groups","1","26","All Item Groups","29","Item Group","",""
"Chunli screws","levonaghinyan77@gmail.com","2026-04-28 14:59:55.989810","2026-04-28 14:59:55.989810","levonaghinyan77@gmail.com","0","0","Chunli screws","CHUNLI","0","27","CHUNLI","28","Item Group","",""
