"name","owner","creation","modified","modified_by","docstatus","idx","item_code","uom","packing_unit","item_name","price_list","buying","selling","currency","price_list_rate","valid_from","lead_time_days","doctype"
"12g4ap80nv","Administrator","2026-05-11 23:53:05.609565","2026-05-11 23:53:05.609565","Administrator","0","0","WDTO02103","Nos","0","Screwdriver Shalf, Ф3.0xФ2.6x52mm, cruciform, Hexagonal Coupling","Standard Selling","0","1","AMD","10000.0","2026-05-11","0","Item Price"
"12gjn8gdg3","Administrator","2026-05-11 23:53:05.674418","2026-05-11 23:53:05.674418","Administrator","0","0","PHI222DE-VSP","Nos","0","ViscoPhi 2.2% 2ml/44mg Intraarticular Gel Injection","Standard Selling","0","1","AMD","90000.0","2026-05-11","0","Item Price"
"12hdk9javv","Administrator","2026-05-11 23:53:05.724158","2026-05-11 23:53:05.724158","Administrator","0","0","PHI253DE-VSP","Nos","0","ViscoPhi 2.5% 3ml/75mg Intraarticular Gel Injection","Standard Selling","0","1","AMD","70000.0","2026-05-11","0","Item Price"
"12h5if2vj6","Administrator","2026-05-11 23:53:05.755257","2026-05-11 23:53:05.755257","Administrator","0","0","PHI254DE-VSPC","Nos","0","ViscoPhi 2.5% 4ml/100mg Intraarticular Gel Injection","Standard Selling","0","1","AMD","80000.0","2026-05-11","0","Item Price"
"12hsf0e2aj","Administrator","2026-05-11 23:53:05.779687","2026-05-11 23:53:05.779687","Administrator","0","0","PHI2548DE-VSP","Nos","0","ViscoPhi 2.5% 4.8ml/120mg Intraarticular Gel Injection","Standard Selling","0","1","AMD","90000.0","2026-05-11","0","Item Price"
"12isha8n5p","Administrator","2026-05-11 23:53:05.811034","2026-05-11 23:53:05.811034","Administrator","0","0","10010.6.2","Nos","0","CHUNLI Hip Instrument Set N6/2","Standard Selling","0","1","AMD","1.0","2026-05-11","0","Item Price"
"12ijii5d47","Administrator","2026-05-11 23:53:05.835635","2026-05-11 23:53:05.835635","Administrator","0","0","10010.6.1","Nos","0","CHUNLI Hip Instrument Set N6/1","Standard Selling","0","1","AMD","1.0","2026-05-11","0","Item Price"
"12iep761ii","Administrator","2026-05-11 23:53:05.859827","2026-05-11 23:53:05.859827","Administrator","0","0","10010.7.1","Nos","0","CHUNLI Hip Instrument Set N7/1","Standard Selling","0","1","AMD","1.0","2026-05-11","0","Item Price"
"12ib3ra0vu","Administrator","2026-05-11 23:53:05.894997","2026-05-11 23:53:05.894997","Administrator","0","0","10010.7.2","Nos","0","CHUNLI Hip Instrument Set N7/2","Standard Selling","0","1","AMD","1.0","2026-05-11","0","Item Price"
"12j1arijla","Administrator","2026-05-11 23:53:05.925186","2026-05-11 23:53:05.925186","Administrator","0","0","3150-28353.1","Nos","0","58Liner-PE - 28/35 44# (working with cup size of 40,42,44)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"12jjdfduem","Administrator","2026-05-11 23:53:05.949601","2026-05-11 23:53:05.949601","Administrator","0","0","3150-28373.1","Nos","0","58Liner-PE - 28/37 46# (working with cup size of 46)","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
