"name","owner","creation","modified","modified_by","docstatus","idx","role_name","disabled","is_custom","desk_access","two_factor_auth","doctype"
"System Manager","Administrator","2026-04-20 00:29:12.713034","2026-04-20 00:29:12.713034","Administrator","0","0","System Manager","0","0","1","0","Role"
"Desk User","Administrator","2026-04-20 00:29:12.723825","2026-04-20 00:29:12.723825","Administrator","0","0","Desk User","0","0","1","0","Role"
"All","Administrator","2026-04-20 00:29:12.734624","2026-04-20 00:29:12.734624","Administrator","0","0","All","0","0","1","0","Role"
"Guest","Administrator","2026-04-20 00:29:12.745197","2026-04-20 00:29:12.745197","Administrator","0","0","Guest","0","0","0","0","Role"
"Administrator","Administrator","2026-04-20 00:29:12.762287","2026-04-20 00:29:12.762287","Administrator","0","0","Administrator","0","0","1","0","Role"
"Website Manager","Administrator","2026-04-20 00:29:13.839601","2026-04-20 00:29:13.839601","Administrator","0","0","Website Manager","0","0","1","0","Role"
"Dashboard Manager","Administrator","2026-04-20 00:29:14.127512","2026-04-20 00:29:14.127512","Administrator","0","0","Dashboard Manager","0","0","1","0","Role"
"Workspace Manager","Administrator","2026-04-20 00:29:15.529971","2026-04-20 00:29:15.529971","Administrator","0","0","Workspace Manager","0","0","1","0","Role"
"Report Manager","Administrator","2026-04-20 00:29:15.898909","2026-04-20 00:29:15.898909","Administrator","0","0","Report Manager","0","0","1","0","Role"
"Script Manager","Administrator","2026-04-20 00:29:16.734836","2026-04-20 00:29:16.734836","Administrator","0","0","Script Manager","0","0","1","0","Role"
"Translator","Administrator","2026-04-20 00:29:17.179982","2026-04-20 00:29:17.179982","Administrator","0","0","Translator","0","0","1","0","Role"
"Prepared Report User","Administrator","2026-04-20 00:29:20.206672","2026-04-20 00:29:20.206672","Administrator","0","0","Prepared Report User","0","0","1","0","Role"
"Inbox User","Administrator","2026-04-20 00:29:22.886905","2026-04-20 00:29:22.886905","Administrator","0","0","Inbox User","0","0","1","0","Role"
"Marketing Manager","Administrator","2026-04-20 00:29:25.402334","2026-04-20 00:29:25.402334","Administrator","0","0","Marketing Manager","0","0","1","0","Role"
"Newsletter Manager","Administrator","2026-04-20 00:29:25.665840","2026-04-20 00:29:25.665840","Administrator","0","0","Newsletter Manager","0","0","1","0","Role"
"Knowledge Base Contributor","Administrator","2026-04-20 00:29:26.252067","2026-04-20 00:29:26.252067","Administrator","0","0","Knowledge Base Contributor","0","0","1","0","Role"
"Knowledge Base Editor","Administrator","2026-04-20 00:29:26.263921","2026-04-20 00:29:26.263921","Administrator","0","0","Knowledge Base Editor","0","0","1","0","Role"
"Purchase User","Administrator","2026-04-20 00:29:30.936176","2026-04-20 00:29:30.936176","Administrator","0","0","Purchase User","0","0","1","0","Role"
"Sales User","Administrator","2026-04-20 00:29:30.944850","2026-04-20 00:29:30.944850","Administrator","0","0","Sales User","0","0","1","0","Role"
"Accounts Manager","Administrator","2026-04-20 00:29:30.951097","2026-04-20 00:29:30.951097","Administrator","0","0","Accounts Manager","0","0","1","0","Role"
"Accounts User","Administrator","2026-04-20 00:29:30.964141","2026-04-20 00:29:30.964141","Administrator","0","0","Accounts User","0","0","1","0","Role"
"Purchase Manager","Administrator","2026-04-20 00:29:37.866710","2026-04-20 00:29:37.866710","Administrator","0","0","Purchase Manager","0","0","1","0","Role"
"Maintenance User","Administrator","2026-04-20 00:29:37.880987","2026-04-20 00:29:37.880987","Administrator","0","0","Maintenance User","0","0","1","0","Role"
"Sales Master Manager","Administrator","2026-04-20 00:29:37.888441","2026-04-20 00:29:37.888441","Administrator","0","0","Sales Master Manager","0","0","1","0","Role"
"Purchase Master Manager","Administrator","2026-04-20 00:29:37.896511","2026-04-20 00:29:37.896511","Administrator","0","0","Purchase Master Manager","0","0","1","0","Role"
"Maintenance Manager","Administrator","2026-04-20 00:29:37.909722","2026-04-20 00:29:37.909722","Administrator","0","0","Maintenance Manager","0","0","1","0","Role"
"Sales Manager","Administrator","2026-04-20 00:29:37.916547","2026-04-20 00:29:37.916547","Administrator","0","0","Sales Manager","0","0","1","0","Role"
"Auditor","Administrator","2026-04-20 00:29:46.858242","2026-04-20 00:29:46.858242","Administrator","0","0","Auditor","0","0","1","0","Role"
"Employee","Administrator","2026-04-20 00:29:46.869630","2026-04-20 00:29:46.869630","Administrator","0","0","Employee","0","0","1","0","Role"
"Stock User","Administrator","2026-04-20 00:29:54.214976","2026-04-20 00:29:54.214976","Administrator","0","0","Stock User","0","0","1","0","Role"
"Stock Manager","Administrator","2026-04-20 00:29:54.230739","2026-04-20 00:29:54.230739","Administrator","0","0","Stock Manager","0","0","1","0","Role"
"HR Manager","Administrator","2026-04-20 00:30:12.515061","2026-04-20 00:30:12.515061","Administrator","0","0","HR Manager","0","0","1","0","Role"
"Manufacturing Manager","Administrator","2026-04-20 00:30:14.993550","2026-04-20 00:30:14.993550","Administrator","0","0","Manufacturing Manager","0","0","1","0","Role"
"Projects User","Administrator","2026-04-20 00:30:17.753769","2026-04-20 00:30:17.753769","Administrator","0","0","Projects User","0","0","1","0","Role"
"Projects Manager","Administrator","2026-04-20 00:30:17.845818","2026-04-20 00:30:17.845818","Administrator","0","0","Projects Manager","0","0","1","0","Role"
"HR User","Administrator","2026-04-20 00:30:18.445805","2026-04-20 00:30:18.445805","Administrator","0","0","HR User","0","0","1","0","Role"
"Manufacturing User","Administrator","2026-04-20 00:30:18.451718","2026-04-20 00:30:18.451718","Administrator","0","0","Manufacturing User","0","0","1","0","Role"
"Delivery User","Administrator","2026-04-20 00:30:22.968704","2026-04-20 00:30:22.968704","Administrator","0","0","Delivery User","0","0","1","0","Role"
"Delivery Manager","Administrator","2026-04-20 00:30:22.976758","2026-04-20 00:30:22.976758","Administrator","0","0","Delivery Manager","0","0","1","0","Role"
"Fleet Manager","Administrator","2026-04-20 00:30:22.991905","2026-04-20 00:30:22.991905","Administrator","0","0","Fleet Manager","0","0","1","0","Role"
"Customer","Administrator","2026-04-20 00:30:23.575540","2026-04-20 00:31:06.448413","Administrator","0","0","Customer","0","0","0","0","Role"
"Item Manager","Administrator","2026-04-20 00:30:25.566011","2026-04-20 00:30:25.566011","Administrator","0","0","Item Manager","0","0","1","0","Role"
"Academics User","Administrator","2026-04-20 00:30:27.605095","2026-04-20 00:30:27.605095","Administrator","0","0","Academics User","0","0","1","0","Role"
"Quality Manager","Administrator","2026-04-20 00:30:37.375704","2026-04-20 00:30:37.375704","Administrator","0","0","Quality Manager","0","0","1","0","Role"
"Fulfillment User","Administrator","2026-04-20 00:30:40.620187","2026-04-20 00:30:40.620187","Administrator","0","0","Fulfillment User","0","0","1","0","Role"
"Support Team","Administrator","2026-04-20 00:30:46.392701","2026-04-20 00:30:46.392701","Administrator","0","0","Support Team","0","0","1","0","Role"
