"name","owner","creation","modified","modified_by","docstatus","idx","policy_name","doctype"
"Order entry","ai-agent@internal.com","2026-05-06 16:50:19.014694","2026-06-10 17:05:40.494290","ai-agent@internal.com","0","19","Order entry","Task Access Policy"
"Pack / prepare items","ai-agent@internal.com","2026-05-06 16:50:19.185686","2026-06-10 17:05:40.873874","ai-agent@internal.com","0","17","Pack / prepare items","Task Access Policy"
"Dispatch picking / hand-off","ai-agent@internal.com","2026-05-06 16:50:19.323779","2026-06-10 17:05:41.242308","ai-agent@internal.com","0","0","Dispatch picking / hand-off","Task Access Policy"
"Delivery","ai-agent@internal.com","2026-05-06 16:50:19.446707","2026-06-10 17:05:41.639221","ai-agent@internal.com","0","9","Delivery","Task Access Policy"
"Pickup Returns","ai-agent@internal.com","2026-05-06 16:50:19.559122","2026-06-10 17:05:42.486246","ai-agent@internal.com","0","9","Pickup Returns","Task Access Policy"
"Return drop-off at warehouse","ai-agent@internal.com","2026-05-06 16:50:19.662585","2026-06-10 17:05:42.791835","ai-agent@internal.com","0","0","Return drop-off at warehouse","Task Access Policy"
"Returns processing / verification","ai-agent@internal.com","2026-05-06 16:50:19.768744","2026-06-10 17:05:43.067571","ai-agent@internal.com","0","4","Returns processing / verification","Task Access Policy"
"Invoice preparation / create invoice","ai-agent@internal.com","2026-05-06 16:50:19.874303","2026-06-10 17:05:43.292292","ai-agent@internal.com","0","2","Invoice preparation / create invoice","Task Access Policy"
"Debt Collection","ai-agent@internal.com","2026-05-06 16:50:19.984178","2026-06-10 17:05:43.601898","ai-agent@internal.com","0","3","Debt Collection","Task Access Policy"
"Distribute Payment","ai-agent@internal.com","2026-05-06 16:50:20.085575","2026-06-10 17:05:43.938721","ai-agent@internal.com","0","0","Distribute Payment","Task Access Policy"
"Discount Approval","ai-agent@internal.com","2026-05-06 16:50:20.198119","2026-06-10 17:05:44.211960","ai-agent@internal.com","0","0","Discount Approval","Task Access Policy"
"Purchase Approval","ai-agent@internal.com","2026-05-06 16:50:20.312946","2026-06-10 17:05:44.828222","ai-agent@internal.com","0","0","Purchase Approval","Task Access Policy"
"Write-off Approval","ai-agent@internal.com","2026-05-06 16:50:20.426577","2026-06-10 17:05:45.298249","ai-agent@internal.com","0","0","Write-off Approval","Task Access Policy"
"Return to warehouse (aborted delivery / cancelled order)","ai-agent@internal.com","2026-05-07 19:30:47.376560","2026-06-10 17:05:42.067015","ai-agent@internal.com","0","0","Return to warehouse (aborted delivery / cancelled order)","Task Access Policy"
"Payment Received","ai-agent@internal.com","2026-05-11 07:48:42.359540","2026-06-22 11:17:27.985602","ai-agent@internal.com","0","0","Payment Received","Task Access Policy"
"Returns restocking","ai-agent@internal.com","2026-05-11 07:48:42.687687","2026-06-22 11:17:28.436481","ai-agent@internal.com","0","2","Returns restocking","Task Access Policy"
"Other","ai-agent@internal.com","2026-06-17 17:41:29.344345","2026-06-17 17:41:29.344345","ai-agent@internal.com","0","0","Other","Task Access Policy"
"Return Call","ai-agent@internal.com","2026-06-24 14:32:02.940078","2026-06-24 14:32:02.940078","ai-agent@internal.com","0","4","Return Call","Task Access Policy"
"Debt Closure Approval","ai-agent@internal.com","2026-06-25 13:42:42.628756","2026-06-25 13:42:42.628756","ai-agent@internal.com","0","1","Debt Closure Approval","Task Access Policy"
"Order accepting","ai-agent@internal.com","2026-06-25 14:51:14.780009","2026-06-25 14:51:14.780009","ai-agent@internal.com","0","2","Order accepting","Task Access Policy"
"Account details","ai-agent@internal.com","2026-06-29 10:47:59.910831","2026-06-29 10:47:59.910831","ai-agent@internal.com","0","0","Account details","Task Access Policy"
