"name","owner","creation","modified","modified_by","docstatus","idx","uom_name","enabled","must_be_whole_number","doctype"
"Abampere","Administrator","2026-04-19 23:12:12.724188","2026-04-19 23:12:12.724188","Administrator","0","0","Abampere","1","0","UOM"
"Acre","Administrator","2026-04-19 23:12:12.731095","2026-04-19 23:12:12.731095","Administrator","0","0","Acre","1","0","UOM"
"Acre (US)","Administrator","2026-04-19 23:12:12.734668","2026-04-19 23:12:12.734668","Administrator","0","0","Acre (US)","1","0","UOM"
"Ampere","Administrator","2026-04-19 23:12:12.737797","2026-04-19 23:12:12.737797","Administrator","0","0","Ampere","1","0","UOM"
"Ampere-Hour","Administrator","2026-04-19 23:12:12.739925","2026-04-19 23:12:12.739925","Administrator","0","0","Ampere-Hour","1","0","UOM"
"Ampere-Minute","Administrator","2026-04-19 23:12:12.742289","2026-04-19 23:12:12.742289","Administrator","0","0","Ampere-Minute","1","0","UOM"
"Ampere-Second","Administrator","2026-04-19 23:12:12.744145","2026-04-19 23:12:12.744145","Administrator","0","0","Ampere-Second","1","0","UOM"
"Are","Administrator","2026-04-19 23:12:12.746002","2026-04-19 23:12:12.746002","Administrator","0","0","Are","1","0","UOM"
"Area","Administrator","2026-04-19 23:12:12.747844","2026-04-19 23:12:12.747844","Administrator","0","0","Area","1","0","UOM"
"Arshin","Administrator","2026-04-19 23:12:12.750025","2026-04-19 23:12:12.750025","Administrator","0","0","Arshin","1","0","UOM"
"Atmosphere","Administrator","2026-04-19 23:12:12.752409","2026-04-19 23:12:12.752409","Administrator","0","0","Atmosphere","1","0","UOM"
"Bar","Administrator","2026-04-19 23:12:12.754808","2026-04-19 23:12:12.754808","Administrator","0","0","Bar","1","0","UOM"
"Barleycorn","Administrator","2026-04-19 23:12:12.757170","2026-04-19 23:12:12.757170","Administrator","0","0","Barleycorn","1","0","UOM"
"Barrel (Oil)","Administrator","2026-04-19 23:12:12.759493","2026-04-19 23:12:12.759493","Administrator","0","0","Barrel (Oil)","1","0","UOM"
"Barrel(Beer)","Administrator","2026-04-19 23:12:12.762489","2026-04-19 23:12:12.762489","Administrator","0","0","Barrel(Beer)","1","0","UOM"
"Biot","Administrator","2026-04-19 23:12:12.765212","2026-04-19 23:12:12.765212","Administrator","0","0","Biot","1","0","UOM"
"Box","Administrator","2026-04-19 23:12:12.767914","2026-04-19 23:12:12.767914","Administrator","0","0","Box","1","1","UOM"
"Btu (It)","Administrator","2026-04-19 23:12:12.770753","2026-04-19 23:12:12.770753","Administrator","0","0","Btu (It)","1","0","UOM"
"Btu (Mean)","Administrator","2026-04-19 23:12:12.774158","2026-04-19 23:12:12.774158","Administrator","0","0","Btu (Mean)","1","0","UOM"
"Btu (Th)","Administrator","2026-04-19 23:12:12.777988","2026-04-19 23:12:12.777988","Administrator","0","0","Btu (Th)","1","0","UOM"
"Btu/Hour","Administrator","2026-04-19 23:12:12.781798","2026-04-19 23:12:12.781798","Administrator","0","0","Btu/Hour","1","0","UOM"
"Btu/Minutes","Administrator","2026-04-19 23:12:12.785923","2026-04-19 23:12:12.785923","Administrator","0","0","Btu/Minutes","1","0","UOM"
"Btu/Seconds","Administrator","2026-04-19 23:12:12.789898","2026-04-19 23:12:12.789898","Administrator","0","0","Btu/Seconds","1","0","UOM"
"Bushel (UK)","Administrator","2026-04-19 23:12:12.793672","2026-04-19 23:12:12.793672","Administrator","0","0","Bushel (UK)","1","0","UOM"
"Bushel (US Dry Level)","Administrator","2026-04-19 23:12:12.797749","2026-04-19 23:12:12.797749","Administrator","0","0","Bushel (US Dry Level)","1","0","UOM"
