group,total_items,suggest_batch_expiry,suggest_ref_only,manual_review,group_decision,note
,5,1,2,2,,
Albomed,5,5,0,0,,
BMK,4,3,0,1,,
BOMBAY,288,1,124,163,,
BPB,2,2,0,0,,
Bombay Hip,35,35,0,0,,
Boneunion,202,0,65,137,,
CHUNLI,22,0,0,22,,
Cement,5,2,0,3,,
Chunli Hip,130,130,0,0,,
Chunli Knee,190,190,0,0,,
ConMed,2,2,0,0,,
DIXI MEDICAL,26,0,26,0,,
DOUBLE MDDICAL,30,11,7,12,,
Delated,1,0,0,1,,
Drill,13,0,0,13,,
Femoral Nails,18,0,18,0,,
Femoral nail,52,0,52,0,,
Femoral stem BE1,8,8,0,0,,
Femoras stem 140,7,7,0,0,,
Femoras stem BE,10,10,0,0,,
Gamma,15,0,12,3,,
Gather,20,0,1,19,,
Humeral nail,54,0,52,2,,
Humeral nails,18,0,18,0,,
In2Bones,7,7,0,0,,
Instruments,73,0,0,73,,
JUST,5,0,0,5,,
JUST HIP,42,42,0,0,,
MOORE,10,10,0,0,,
Medprin GMBH,7,7,0,0,,
Metacarpal,3,0,0,3,,
PFNA,45,0,45,0,,
Permedica - Hip,113,113,0,0,,
Permedica - Knee,94,94,0,0,,
Plates,266,0,0,266,,
Prodorth,36,0,18,18,,
Radius Prosthesis,15,15,0,0,,
Revers Shoulder,17,17,0,0,,
SOPHYSA,20,20,0,0,,
SceneRay,5,0,2,3,,
Screw Set,43,0,0,43,,
Screw Set 1,1,0,0,1,,
Screws,326,0,0,326,,
Spineway,24,0,3,21,,
TEN,7,0,7,0,,
TTC Nail,16,0,16,0,,
Teknimed Cement,3,3,0,0,,
Tibia Nails,40,0,40,0,,
ViscoPhi,4,4,0,0,,
World Surgery,23,0,12,11,,
ZMD Plates,323,0,0,323,,
ZMD Screws,368,0,0,368,,
ZMD Wire,20,0,20,0,,
Zimede,201,0,103,98,,
