group,total_items,suggest_batch_expiry,suggest_ref_only,manual_review,group_decision,note
,5,1,2,2,,
Albomed,5,5,0,0,,     BATCH_EXPIRY
BMK,4,3,0,1,,  BATCH_EXPIRY
BOMBAY,288,1,124,163,,
BPB,2,2,0,0,,   BATCH_EXPIRY
Bombay Hip,35,35,0,0,, BATCH_EXPIRY
Boneunion,202,0,65,137,,  REF_ONLY(1)
CHUNLI,22,0,0,22,,  BATCH_EXPIRY
Cement,5,2,0,3,,    BATCH_EXPIRY
Chunli Hip,130,130,0,0,,   REF_ONLY(1)
Chunli Knee,190,190,0,0,,REF_ONLY(1)
ConMed,2,2,0,0,, BATCH_EXPIRY
DIXI MEDICAL,26,0,26,0,,BATCH_EXPIRY
DOUBLE MDDICAL,30,11,7,12,,BATCH_EXPIRY
Delated,1,0,0,1,,
Drill,13,0,0,13,,REF_ONLY
Femoral Nails,18,0,18,0,,REF_ONLY
Femoral nail,52,0,52,0,,REF_ONLY
Femoral stem BE1,8,8,0,0,,BATCH_EXPIRY
Femoras stem 140,7,7,0,0,,BATCH_EXPIRY
Femoras stem BE,10,10,0,0,,BATCH_EXPIRY
Gamma,15,0,12,3,,REF_ONLY(1)
Gather,20,0,1,19,,REF_ONLY
Humeral nail,54,0,52,2,,REF_ONLY
Humeral nails,18,0,18,0,,REF_ONLY
In2Bones,7,7,0,0,,
Instruments,73,0,0,73,,REF_ONLY
JUST,5,0,0,5,,BATCH_EXPIRY
JUST HIP,42,42,0,0,,BATCH_EXPIRY(1)
MOORE,10,10,0,0,,BATCH_EXPIRY
Medprin GMBH,7,7,0,0,,BATCH_EXPIRY
Metacarpal,3,0,0,3,,REF_ONLY
PFNA,45,0,45,0,,REF_ONLY
Permedica - Hip,113,113,0,0,,REF_ONLY(1)
Permedica - Knee,94,94,0,0,,REF_ONLY(1)
Plates,266,0,0,266,,REF_ONLY
Prodorth,36,0,18,18,,REF_ONLY
Radius Prosthesis,15,15,0,0,,REF_ONLY(1)
Revers Shoulder,17,17,0,0,,REF_ONLY(1)
SOPHYSA,20,20,0,0,,
SceneRay,5,0,2,3,,
Screw Set,43,0,0,43,,REF_ONLY
Screw Set 1,1,0,0,1,,REF_ONLY
Screws,326,0,0,326,,REF_ONLY
Spineway,24,0,3,21,,
TEN,7,0,7,0,,
TTC Nail,16,0,16,0,,
Teknimed Cement,3,3,0,0,,BATCH_EXPIRY
Tibia Nails,40,0,40,0,,REF_ONLY
ViscoPhi,4,4,0,0,,BATCH_EXPIRY
World Surgery,23,0,12,11,,
ZMD Plates,323,0,0,323,,REF_ONLY
ZMD Screws,368,0,0,368,,REF_ONLY
ZMD Wire,20,0,20,0,,REF_ONLY
Zimede,201,0,103,98,,
