"name","owner","creation","modified","modified_by","docstatus","idx","item_group_name","parent_item_group","is_group","lft","old_parent","rgt","doctype","item_group_defaults","taxes"
"All Item Groups","Administrator","2026-04-19 23:12:09.575295","2026-04-19 23:12:09.575295","Administrator","0","0","All Item Groups","","1","1","","124","Item Group","",""
"Products","Administrator","2026-04-19 23:12:09.612242","2026-04-19 23:12:09.612242","Administrator","0","0","Products","All Item Groups","0","2","All Item Groups","3","Item Group","",""
"Raw Material","Administrator","2026-04-19 23:12:09.624200","2026-04-19 23:12:09.624200","Administrator","0","0","Raw Material","All Item Groups","0","4","All Item Groups","5","Item Group","",""
"Services","Administrator","2026-04-19 23:12:09.634480","2026-04-19 23:12:09.634480","Administrator","0","0","Services","All Item Groups","0","6","All Item Groups","7","Item Group","",""
"Sub Assemblies","Administrator","2026-04-19 23:12:09.645013","2026-04-19 23:12:09.645013","Administrator","0","0","Sub Assemblies","All Item Groups","0","8","All Item Groups","9","Item Group","",""
"Consumable","Administrator","2026-04-19 23:12:09.654205","2026-04-19 23:12:09.654205","Administrator","0","0","Consumable","All Item Groups","0","10","All Item Groups","11","Item Group","",""
"ZMD","levonaghinyan77@gmail.com","2026-04-27 18:23:10.297627","2026-04-27 18:31:03.566974","levonaghinyan77@gmail.com","0","0","ZMD","All Item Groups","1","12","All Item Groups","25","Item Group","",""
"femoral nails","levonaghinyan77@gmail.com","2026-04-27 18:32:02.152625","2026-04-27 18:32:14.433657","levonaghinyan77@gmail.com","0","3","femoral nails","ZMD","0","13","ZMD","14","Item Group","",""
"zmd plates","levonaghinyan77@gmail.com","2026-04-27 18:32:26.767566","2026-04-27 18:32:26.767566","levonaghinyan77@gmail.com","0","35","zmd plates","ZMD","0","15","ZMD","16","Item Group","",""
"pfna","levonaghinyan77@gmail.com","2026-04-27 18:32:37.340695","2026-04-27 18:32:37.340695","levonaghinyan77@gmail.com","0","11","pfna","ZMD","0","17","ZMD","18","Item Group","",""
"zmd screws","levonaghinyan77@gmail.com","2026-04-27 18:32:54.141771","2026-04-27 18:32:54.141771","levonaghinyan77@gmail.com","0","28","zmd screws","ZMD","0","19","ZMD","20","Item Group","",""
"tibia nails","levonaghinyan77@gmail.com","2026-04-27 18:33:11.463434","2026-04-27 18:33:11.463434","levonaghinyan77@gmail.com","0","3","tibia nails","ZMD","0","21","ZMD","22","Item Group","",""
"zmd wire","levonaghinyan77@gmail.com","2026-04-27 18:33:24.387734","2026-04-27 18:33:24.387734","levonaghinyan77@gmail.com","0","0","zmd wire","ZMD","0","23","ZMD","24","Item Group","",""
"CHUNLI","levonaghinyan77@gmail.com","2026-04-28 14:57:48.556722","2026-04-28 14:57:48.556722","levonaghinyan77@gmail.com","0","1","CHUNLI","All Item Groups","1","26","All Item Groups","29","Item Group","",""
"Chunli screws","levonaghinyan77@gmail.com","2026-04-28 14:59:55.989810","2026-04-28 14:59:55.989810","levonaghinyan77@gmail.com","0","0","Chunli screws","CHUNLI","0","27","CHUNLI","28","Item Group","",""
"Albomed","Administrator","2026-05-11 23:52:00.756225","2026-05-11 23:52:00.756225","Administrator","0","2","Albomed","All Item Groups","0","30","All Item Groups","31","Item Group","",""
"BMK","Administrator","2026-05-11 23:52:01.544164","2026-05-11 23:52:01.544164","Administrator","0","0","BMK","All Item Groups","0","32","All Item Groups","33","Item Group","",""
"BOMBAY","Administrator","2026-05-11 23:52:01.570046","2026-05-11 23:52:01.570046","Administrator","0","0","BOMBAY","All Item Groups","0","34","All Item Groups","35","Item Group","",""
"BPB","Administrator","2026-05-11 23:52:01.645592","2026-05-11 23:52:01.645592","Administrator","0","0","BPB","All Item Groups","0","36","All Item Groups","37","Item Group","",""
"Bombay Hip","Administrator","2026-05-11 23:52:01.726169","2026-05-11 23:52:01.726169","Administrator","0","6","Bombay Hip","All Item Groups","0","38","All Item Groups","39","Item Group","",""
"Boneunion","Administrator","2026-05-11 23:52:01.833532","2026-05-11 23:52:01.833532","Administrator","0","3","Boneunion","All Item Groups","0","40","All Item Groups","41","Item Group","",""
"Cement","Administrator","2026-05-11 23:52:01.880133","2026-05-11 23:52:01.880133","Administrator","0","0","Cement","All Item Groups","0","42","All Item Groups","43","Item Group","",""
"Chunli Hip","Administrator","2026-05-11 23:52:02.040482","2026-05-11 23:52:02.040482","Administrator","0","26","Chunli Hip","All Item Groups","0","44","All Item Groups","45","Item Group","",""
"Chunli Knee","Administrator","2026-05-11 23:52:02.150310","2026-05-11 23:52:02.150310","Administrator","0","43","Chunli Knee","All Item Groups","0","46","All Item Groups","47","Item Group","",""
"ConMed","Administrator","2026-05-11 23:52:02.366998","2026-05-11 23:52:02.366998","Administrator","0","0","ConMed","All Item Groups","0","48","All Item Groups","49","Item Group","",""
"DIXI MEDICAL","Administrator","2026-05-11 23:52:02.532022","2026-05-11 23:52:02.532022","Administrator","0","0","DIXI MEDICAL","All Item Groups","0","50","All Item Groups","51","Item Group","",""
"DOUBLE MDDICAL","Administrator","2026-05-11 23:52:02.646600","2026-05-11 23:52:02.646600","Administrator","0","2","DOUBLE MDDICAL","All Item Groups","0","52","All Item Groups","53","Item Group","",""
"Delated","Administrator","2026-05-11 23:52:02.722614","2026-05-11 23:52:02.722614","Administrator","0","0","Delated","All Item Groups","0","54","All Item Groups","55","Item Group","",""
"Drill","Administrator","2026-05-11 23:52:02.771975","2026-05-11 23:52:02.771975","Administrator","0","0","Drill","All Item Groups","0","56","All Item Groups","57","Item Group","",""
"Femoral nail","Administrator","2026-05-11 23:52:02.807883","2026-05-11 23:52:02.807883","Administrator","0","0","Femoral nail","All Item Groups","0","58","All Item Groups","59","Item Group","",""
"Femoral stem BE1","Administrator","2026-05-11 23:52:02.852343","2026-05-11 23:52:02.852343","Administrator","0","3","Femoral stem BE1","All Item Groups","0","60","All Item Groups","61","Item Group","",""
"Femoras stem 140","Administrator","2026-05-11 23:52:02.898470","2026-05-11 23:52:02.898470","Administrator","0","2","Femoras stem 140","All Item Groups","0","62","All Item Groups","63","Item Group","",""
"Femoras stem BE","Administrator","2026-05-11 23:52:02.979015","2026-05-11 23:52:02.979015","Administrator","0","0","Femoras stem BE","All Item Groups","0","64","All Item Groups","65","Item Group","",""
"Gamma","Administrator","2026-05-11 23:52:03.105056","2026-05-11 23:52:03.105056","Administrator","0","0","Gamma","All Item Groups","0","66","All Item Groups","67","Item Group","",""
"Gather","Administrator","2026-05-11 23:52:03.188184","2026-05-11 23:52:03.188184","Administrator","0","0","Gather","All Item Groups","0","68","All Item Groups","69","Item Group","",""
"Humeral nail","Administrator","2026-05-11 23:52:03.253526","2026-05-11 23:52:03.253526","Administrator","0","0","Humeral nail","All Item Groups","0","70","All Item Groups","71","Item Group","",""
"Humeral nails","Administrator","2026-05-11 23:52:03.328046","2026-05-11 23:52:03.328046","Administrator","0","0","Humeral nails","All Item Groups","0","72","All Item Groups","73","Item Group","",""
"In2Bones","Administrator","2026-05-11 23:52:03.385277","2026-05-11 23:52:03.385277","Administrator","0","0","In2Bones","All Item Groups","0","74","All Item Groups","75","Item Group","",""
"Instruments","Administrator","2026-05-11 23:52:03.456158","2026-05-11 23:52:03.456158","Administrator","0","7","Instruments","All Item Groups","0","76","All Item Groups","77","Item Group","",""
"JUST","Administrator","2026-05-11 23:52:03.571687","2026-05-11 23:52:03.571687","Administrator","0","0","JUST","All Item Groups","0","78","All Item Groups","79","Item Group","",""
"JUST HIP","Administrator","2026-05-11 23:52:03.651947","2026-05-11 23:52:03.651947","Administrator","0","10","JUST HIP","All Item Groups","0","80","All Item Groups","81","Item Group","",""
"MOORE","Administrator","2026-05-11 23:52:03.729426","2026-05-11 23:52:03.729426","Administrator","0","1","MOORE","All Item Groups","0","82","All Item Groups","83","Item Group","",""
"Medprin GMBH","Administrator","2026-05-11 23:52:03.790872","2026-05-11 23:52:03.790872","Administrator","0","0","Medprin GMBH","All Item Groups","0","84","All Item Groups","85","Item Group","",""
"Metacarpal","Administrator","2026-05-11 23:52:03.838668","2026-05-11 23:52:03.838668","Administrator","0","0","Metacarpal","All Item Groups","0","86","All Item Groups","87","Item Group","",""
