group,total_items,suggest_batch_expiry,suggest_ref_only,manual_review,high_risk,medium_risk,low_risk,group_decision,note
,4,1,3,0,0,3,1,,
Albomed,5,5,0,0,0,5,0,,
BMK,4,4,0,0,0,4,0,,
BOMBAY,288,1,287,0,0,38,250,,
BPB,2,2,0,0,0,0,2,,
Bombay Hip,35,35,0,0,0,35,0,,
Boneunion,202,0,202,0,0,2,200,,
CHUNLI,22,0,22,0,0,0,22,,
Cement,5,5,0,0,0,5,0,,
Chunli Hip,130,130,0,0,0,115,15,,
Chunli Knee,190,190,0,0,0,187,3,,
ConMed,2,2,0,0,0,0,2,,
DIXI MEDICAL,26,0,26,0,0,26,0,,
DOUBLE MDDICAL,30,11,19,0,0,12,18,,
Delated,1,0,1,0,0,0,1,,
Drill,13,0,13,0,0,0,13,,
Femoral Nails,18,0,18,0,0,0,18,,
Femoral nail,52,0,52,0,0,0,52,,
Femoral stem BE1,8,8,0,0,0,8,0,,
Femoras stem 140,7,7,0,0,0,7,0,,
Femoras stem BE,10,10,0,0,0,10,0,,
Gamma,15,0,15,0,0,0,15,,
Gather,20,0,20,0,0,6,14,,
Humeral nail,54,0,54,0,0,0,54,,
Humeral nails,18,0,18,0,0,0,18,,
In2Bones,7,7,0,0,0,7,0,,
Instruments,73,0,73,0,0,0,73,,
JUST,5,0,5,0,0,0,5,,
JUST HIP,42,42,0,0,0,37,5,,
MOORE,10,10,0,0,0,10,0,,
Medprin GMBH,7,7,0,0,0,7,0,,
Metacarpal,3,0,3,0,0,0,3,,
PFNA,45,0,45,0,0,0,45,,
Permedica - Hip,113,113,0,0,0,109,4,,
Permedica - Knee,94,94,0,0,0,94,0,,
Plates,266,0,266,0,0,0,266,,
Prodorth,36,0,36,0,0,27,9,,
Radius Prosthesis,15,15,0,0,0,15,0,,
Revers Shoulder,17,17,0,0,0,17,0,,
SOPHYSA,20,20,0,0,0,0,20,,
SceneRay,5,0,5,0,0,1,4,,
Screw Set,43,0,43,0,0,0,43,,
Screw Set 1,1,0,1,0,0,0,1,,
Screws,326,0,326,0,0,0,326,,
Spineway,24,0,24,0,0,5,19,,
TEN,7,0,7,0,0,0,7,,
TTC Nail,16,0,16,0,0,0,16,,
Teknimed Cement,3,3,0,0,0,3,0,,
Tibia Nails,40,0,40,0,0,0,40,,
ViscoPhi,4,4,0,0,0,4,0,,
World Surgery,23,0,23,0,0,12,11,,
ZMD Plates,323,0,323,0,0,0,323,,
ZMD Screws,368,0,368,0,0,0,368,,
ZMD Wire,20,0,20,0,0,20,0,,
Zimede,201,0,201,0,0,30,171,,
