code_1c,sku_ref,description,group,item_type,uom,suggested_tracking,risk_level,needs_user_review,reason,flags,approved_tracking,user_note
00-00002239,,Screw Set 1,Screw Set 1,Հատ,հատ,REF_ONLY,LOW,NO,Set/kit/instrument/tool is non-sterile,NO_SKU_REF;NON_STERILE_TOOLING,,
00-00003095,WDTO02103,"Screwdriver Shalf, Ф3.0xФ2.6x52mm, cruciform, Hexagonal Coupling",World Surgery,Հատ,հատ,REF_ONLY,LOW,NO,Set/kit/instrument/tool is non-sterile,NON_STERILE_TOOLING,,
00-00003257,PHI222DE-VSP,ViscoPhi 2.2% 2ml/44mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003258,PHI253DE-VSP,ViscoPhi 2.5% 3ml/75mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003259,PHI254DE-VSPC,ViscoPhi 2.5% 4ml/100mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003260,PHI2548DE-VSP,ViscoPhi 2.5% 4.8ml/120mg Intraarticular Gel Injection,ViscoPhi,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003262,5031-00201,REV. Screw - 18,Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,LOW,NO,Chunli/Permedica/Just screw requires expiry,SCREW;STERILE_SCREW_BRAND,,
00-00003263,5031-00202,REV. Screw - 22,Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,LOW,NO,Chunli/Permedica/Just screw requires expiry,SCREW;STERILE_SCREW_BRAND,,
00-00003264,5031-00204,REV. Screw - 30,Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,LOW,NO,Chunli/Permedica/Just screw requires expiry,SCREW;STERILE_SCREW_BRAND,,
00-00003265,5031-00205,REV. Screw - 34,Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,LOW,NO,Chunli/Permedica/Just screw requires expiry,SCREW;STERILE_SCREW_BRAND,,
