GROUP 5: zmd wire (20 items)

1. 30248.08.1.2.250 - ZM K-wire, 1.2/250mm SS
2. 30248.08.250 - ZM K-wire, 0.8/250mm SS
3. 30248.1.0.230 - ZM K-wire, 1.0/230mm SS
4. 30248.1.0.300 - ZM K-wire, 1.0/300mm SS
5. 30248.1.2.300 - ZM K-wire, 1.2/300 mm SS
6. 30248.1.5.300 - ZM K-wire, 1.5/300 mm SS
7. 30248.2.0.250 - ZM K-wire, 2.0/250mm SS
8. 30248.2.0.300 - ZM K-wire, 2.0/300mm SS
9. 30248.2.5.250 - ZM K-wire, 2.5/250mm SS
10. 30248.2.5.300 - ZM K-wire, 2.5/300mm SS
11. 30248.3.0.250 - ZM K-wire, 3.0/250mm SS
12. 30248.3.0.300 - ZM K-wire, 3.0/300mm SS
13. 30248.3.5.300 - ZM K-wire, 3.5/300mm SS
14. 30248.4.0.200 - ZM K-wire, 4.0/200mm SS
15. 30248.4.0.250 - ZM K-wire, 4.0/250mm SS
16. 30248.4.0.300 - ZM K-wire, 4.0/300mm SS
17. 9000.0410 - ZM Suture Wire 5m 0.8 mm SS
18. 9000.0411 - ZM Suture Wire 5m 0.6 mm SS
19. 9000.0412 - ZM Suture Wire 5m 1.0 mm SS
20. 9000.0413 - ZM Suture Wire 5m 1.2 mm SS


GROUP 6: Zimede (162 items)

1. 30248.0825 - Zimede, K-Wire, 0.8*250mm, S.S.
2. 30248.10250 - Zimede, K-Wire, 1.0*250mm, S.S.
3. 30248.10300 - Zimede, K-Wire, 1.0*300mm, S.S.
4. 30248.12250 - Zimede, K-Wire, 1.2*250mm, S.S.
5. 30248.12300 - Zimede, K-Wire, 1.2*300mm, S.S.
6. 30248.15300 - Zimede, K-Wire, 1.5*300mm, S.S.
7. 30248.20150 - Zimede, K-Wire, 2.0*250mm, S.S.
8. 30248.20300 - Zimede, K-Wire, 2.0*300mm, S.S.
9. 30248.25250 - Zimede, K-Wire, 2.5*250mm, S.S.
10. 30248.25300 - Zimede, K-Wire, 2.5*300mm, S.S.
11. 30248.30300 - Zimede, K-Wire, 3.0*300mm, S.S.
12. 30249.065 - Zimede, Suture Wire, 0.6mm*5meter, S.S.
13. 30249.085 - Zimede, Suture Wire, 0.8mm*5meter, S.S.
14. 30249.105 - Zimede, Suture Wire, 1.0mm*5meter, S.S.
15. 30249.125 - Zimede, Suture Wire, 1.2mm*5meter, S.S.
16. 3240200490 - Rod BU 5.5mm, 500mm, Ti
17. 40201.15 - Zimede, Position screws, 4.0x15mm, Ti
18. 40201.17 - Zimede, Position screws, 4.0x17mm, Ti
19. 40201.23 - Zimede, Anterior cervical plate, 4h - 23mm, Ti
20. 40201.25 - Zimede, Anterior cervical plate, 4h - 25mm, Ti
21. 40201.26 - Zimede, Anterior cervical plate, 4h - 26mm, Ti
22. 40201.27 - Zimede, Anterior cervical plate, 4h - 27mm, Ti
23. 40201.29 - Zimede, Anterior cervical plate, 4h - 29mm, Ti
24. 40201.32 - Zimede, Anterior cervical plate, 4h - 32mm, Ti
25. 40201.33 - Zimede, Anterior cervical plate, 4h - 33mm, Ti
26. 40201.33-6 - Zimede, Anterior cervical plate, 6h - 33mm, Ti
27. 40201.35 - Zimede, Anterior cervical plate, 6h - 35mm, Ti
28. 40201.38 - Zimede, Anterior cervical plate, 6h - 38mm, Ti
29. 40201.41 - Zimede, Anterior cervical plate, 6h - 41mm, Ti
30. 40201.44 - Zimede, Anterior cervical plate, 6h - 44mm, Ti
